iter	Passed	Remaining
274	423	1117
275	424	1114
276	425	1111
277	426	1107
278	427	1104
279	427	1100
280	428	1097
281	429	1093
282	430	1090
283	431	1086
284	431	1083
285	432	1079
286	433	1076
287	434	1073
288	434	1069
289	435	1066
290	436	1063
291	437	1059
292	437	1056
293	438	1053
294	440	1051
295	441	1048
296	441	1045
297	442	1042
298	443	1039
299	444	1036
300	445	1033
301	445	1030
302	446	1027
303	447	1024
304	448	1021
305	449	1018
306	449	1015
307	450	1012
308	451	1009
309	451	1005
310	452	1002
311	453	999
312	454	997
313	455	994
314	455	991
315	456	988
316	457	985
317	458	982
318	458	979
319	459	976
320	460	974
321	461	971
322	462	968
323	462	965
324	463	962
325	464	960
326	465	957
327	465	954
328	466	951
329	467	949
330	468	946
331	469	944
332	470	941
333	470	938
334	471	936
335	472	933
336	473	930
337	473	928
338	474	925
339	475	922
340	476	920
341	477	917
342	477	915
343	478	912
344	479	909
345	480	907
346	480	904
347	481	902
348	482	900
349	483	897
350	484	894
351	484	892
352	485	890
353	486	887
354	487	885
355	487	882
356	488	880
357	489	877
358	490	875
359	490	872
360	491	870
361	492	867
362	493	865
363	494	863
364	494	860
365	495	858
366	496	856
367	497	854
368	498	851
369	498	849
370	499	847
371	500	844
372	501	842
373	502	840
374	502	837
375	503	835
376	504	833
377	505	831
378	505	828
379	506	826
380	507	824
381	508	822
382	509	819
383	509	817
384	510	815
385	512	814
386	512	812
387	513	810
388	514	808
389	515	806
390	516	804
391	517	802
392	517	799
393	518	797
394	519	795
395	520	793
396	520	791
397	521	789
398	522	787
399	523	784
400	524	782
401	524	780
402	525	779
403	526	777
404	527	775
405	528	773
406	529	770
407	529	768
408	530	766
409	531	764
410	532	762
411	532	760
412	533	758
413	534	756
414	535	754
415	535	752
416	536	750
417	537	748
418	538	746
419	539	744
420	540	743
421	541	741
422	542	739
423	543	738
424	544	736
425	544	734
426	545	732
427	546	730
428	547	728
429	548	726
430	549	724
431	549	723
432	551	721
433	552	720
434	552	718
435	553	716
436	554	714
437	555	712
438	556	710
439	557	709
440	557	707
441	558	705
442	559	703
443	560	701
444	560	699
445	561	697
446	562	695
447	563	693
448	563	692
449	564	690
450	565	688
451	566	686
452	566	684
453	567	682
454	568	680
455	569	679
456	570	677
457	570	675
458	571	673
459	572	672
460	573	670
461	573	668
462	574	666
463	575	664
464	576	663
465	577	661
466	577	659
467	578	657
468	579	655
469	580	654
470	580	652
471	581	650
472	582	648
473	583	646
474	583	645
475	584	643
476	585	641
477	586	640
478	586	638
479	587	636
480	588	634
481	589	633
482	590	631
483	590	629
484	591	628
485	592	626
486	593	624
487	593	623
488	594	621
489	595	619
490	596	617
491	596	616
492	597	614
493	598	613
494	599	611
495	600	609
496	601	608
497	601	606
498	602	604
499	603	603
500	603	601
501	604	599
502	605	598
503	606	596
504	606	594
505	607	593
506	608	591
507	609	590
508	609	588
509	610	586
510	611	585
511	612	583
512	613	582
513	614	580
514	614	579
515	615	577
516	616	575
517	617	574
518	617	572
519	618	571
520	619	569
521	620	567
522	620	566
523	621	564
524	622	563
525	623	561
526	623	560
527	624	558
528	625	556
529	626	555
530	627	553
531	628	552
532	629	551
533	629	549
534	630	548
535	631	546
536	632	545
537	633	543
538	634	542
539	634	540
540	635	539
541	636	537
542	637	536
543	638	535
544	639	533
545	640	532
546	640	530
547	642	529
548	643	528
549	644	527
550	645	526
551	646	524
552	647	523
553	647	521
554	648	520
555	649	518
556	650	517
557	651	515
558	652	514
559	653	513
560	653	511
561	654	510
562	655	508
563	656	507
564	657	506
565	658	505
566	659	503
567	660	502
568	661	500
569	662	499
570	663	498
571	664	496
572	664	495
573	665	493
574	666	492
575	667	491
576	667	489
577	668	488
578	669	486
579	670	485
580	671	484
581	672	482
582	673	481
583	674	480
584	675	478
585	675	477
586	676	475
587	677	474
588	678	473
589	678	471
590	679	470
591	680	469
592	681	467
593	682	466
594	682	464
595	683	463
596	684	462
597	685	461
598	686	459
599	687	458
600	688	456
601	689	455
602	690	454
603	690	452
604	691	451
605	692	450
606	693	449
607	694	447
608	695	446
609	695	444
610	696	443
611	697	442
612	698	441
613	700	440
614	701	438
615	702	437
616	702	436
617	703	434
618	704	433
619	705	432
620	706	431
621	707	429
622	707	428
623	708	427
624	709	425
625	710	424
626	711	422
627	711	421
628	712	420
629	713	419
630	714	417
631	715	416
632	716	415
633	717	413
634	717	412
635	718	411
636	719	409
637	720	408
638	720	407
639	721	405
640	722	404
641	723	403
642	723	401
643	724	400
644	725	399
645	726	397
646	726	396
647	727	395
648	728	394
649	729	392
650	730	391
651	731	390
652	731	388
653	732	387
654	733	386
655	734	385
656	735	383
657	735	382
658	736	381
659	737	379
660	738	378
661	738	377
662	739	375
663	740	374
664	741	373
665	741	372
666	742	370
667	743	369
668	744	368
669	745	366
670	745	365
671	746	364
672	747	363
673	748	361
674	748	360
675	749	359
676	750	357
677	751	356
678	751	355
679	752	354
680	753	352
681	754	351
682	754	350
683	755	349
684	756	347
685	757	346
686	758	345
687	758	344
688	759	342
689	760	341
690	761	340
691	761	339
692	762	337
693	763	336
694	764	335
695	765	334
696	766	333
697	766	331
698	767	330
699	768	329
700	769	328
701	770	327
702	771	325
703	772	324
704	773	323
705	774	322
706	775	321
707	776	320
708	777	319
709	778	317
710	778	316
711	779	315
712	781	314
713	781	313
714	782	311
715	783	310
716	784	309
717	784	308
718	785	307
719	786	305
720	788	305
721	789	304
722	790	302
723	791	301
724	792	300
725	792	299
726	793	298
727	794	296
728	795	295
729	796	294
730	797	293
731	797	292
732	798	290
733	799	289
734	800	288
735	801	287
736	804	286
737	804	285
738	805	284
739	806	283
740	807	282
741	808	281
742	809	279
743	809	278
744	810	277
745	811	276
746	812	275
747	813	273
748	814	272
749	815	271
750	816	270
751	818	269
752	818	268
753	819	267
754	820	266
755	821	265
756	822	263
757	822	262
758	823	261
759	824	260
760	825	259
761	826	258
762	826	256
763	827	255
764	828	254
765	829	253
766	830	252
767	832	251
768	833	250
769	834	249
770	835	248
771	836	246
772	837	245
773	837	244
774	838	243
775	839	242
776	840	241
777	841	240
778	841	238
779	842	237
780	843	236
781	844	235
782	846	234
783	847	233
784	848	232
785	848	231
786	849	229
787	850	228
788	851	227
789	852	226
790	852	225
791	853	224
792	854	223
793	855	221
794	856	220
795	856	219
796	857	218
797	859	217
798	861	216
799	861	215
800	862	214
801	863	213
802	864	212
803	865	210
804	865	209
805	866	208
806	867	207
807	868	206
808	869	205
809	870	204
810	870	202
811	871	201
812	872	200
813	873	199
814	875	198
815	876	197
816	877	196
817	878	195
818	878	194
819	879	193
820	880	191
821	881	190
822	882	189
823	882	188
824	883	187
825	884	186
826	885	185
827	885	184
828	887	183
829	889	182
830	889	180
831	890	179
832	891	178
833	892	177
834	893	176
835	893	175
836	894	174
837	895	173
838	896	171
839	896	170
840	897	169
841	898	168
842	899	167
843	899	166
844	900	165
845	902	164
846	903	163
847	904	162
848	904	160
849	905	159
850	906	158
851	907	157
852	908	156
853	908	155
854	909	154
855	910	153
856	911	152
857	911	150
858	912	149
859	913	148
860	914	147
861	915	146
862	916	145
863	917	144
864	918	143
865	918	142
866	919	141
867	920	139
868	921	138
869	921	137
870	922	136
871	923	135
872	924	134
873	924	133
874	925	132
875	926	131
876	927	130
877	927	128
878	928	127
879	929	126
880	930	125
881	931	124
882	932	123
883	933	122
884	933	121
885	934	120
886	935	119
887	936	118
888	936	116
889	937	115
890	938	114
891	939	113
892	939	112
893	940	111
894	941	110
895	942	109
896	942	108
897	943	107
898	944	106
899	945	105
900	946	103
901	947	102
902	947	101
903	948	100
904	949	99
905	950	98
906	951	97
907	951	96
908	952	95
909	953	94
910	954	93
911	955	92
912	955	91
913	956	90
914	957	88
915	958	87
916	959	86
917	960	85
918	961	84
919	962	83
920	963	82
921	963	81
922	964	80
923	965	79
924	966	78
925	967	77
926	967	76
927	968	75
928	969	74
929	970	73
930	970	71
931	971	70
932	972	69
933	973	68
934	974	67
935	975	66
936	975	65
937	976	64
938	977	63
939	978	62
940	979	61
941	979	60
942	980	59
943	981	58
944	982	57
945	982	56
946	983	55
947	984	53
948	985	52
949	986	51
950	987	50
951	988	49
952	989	48
953	990	47
954	991	46
955	992	45
956	992	44
957	993	43
958	994	42
959	995	41
960	995	40
961	996	39
962	997	38
963	998	37
964	998	36
965	999	35
966	1000	34
967	1001	33
968	1002	32
969	1003	31
970	1003	29
971	1004	28
972	1005	27
973	1006	26
974	1006	25
975	1007	24
976	1008	23
977	1009	22
978	1009	21
979	1010	20
980	1011	19
981	1012	18
982	1013	17
983	1013	16
984	1014	15
985	1015	14
986	1016	13
987	1017	12
988	1018	11
989	1018	10
990	1019	9
991	1020	8
992	1021	7
993	1021	6
994	1022	5
995	1023	4
996	1024	3
997	1025	2
998	1025	1
999	1026	0
